"lon","lat","unc"
-117.764956,33.582638,11
-96.847653,33.048896,168
-116.856086,32.828767,3
-118.622772,34.259412,5
-117.144556,32.737315,4
-117.077526,32.823099,NA
-117.248803,32.943344,5
-117.847532,33.654167,50
-116.987662,33.077255,10
-117.830225,34.159555,3
-120.234275,34.48147,2
-117.062067,32.820288,20
-118.991111,34.067736,4
-116.868943,32.734376,51
-116.847202,32.771759,5
-116.795341,32.873934,8
-117.742822,33.777356,39
-117.125756,32.778498,75
-117.144917,33.079789,5
-117.086192,32.826803,NA
-118.38262,33.743992,4
-98.089853,30.220896,4
-117.323609,33.970483,61
-117.011822,32.828828,NA
-98.085828,30.218345,9
-118.042397,33.695328,18
-117.830919,34.056269,4
-98.565554,29.612328,NA
-98.034139,30.034262,3
-119.59268,37.003642,5
-98.309337,29.632585,3
-121.968492,37.88198,3
-117.037369,32.795803,2
-116.713134,33.009009,NA
-117.523351,34.173731,3
-117.88864,33.653403,NA
-96.846344,33.048311,NA
-97.80935,30.141558,35
-110.718672,32.174311,NA
-116.665587,32.745872,636
-117.072769,32.829003,6
-117.096389,32.893917,NA
-121.780833,37.643669,NA
-98.628845,29.557635,NA
-118.358189,34.270127,NA
-117.125962,32.778467,8
-118.61567,34.260522,4
-117.115464,32.929757,NA
-117.755201,33.836118,NA
-116.990964,32.794792,15
-121.211571,36.498514,6
-118.025037,33.683892,2
-117.229722,32.886917,24
-117.021078,32.820614,111
-117.030511,33.063489,NA
-117.843216,33.641018,34
-117.826456,34.058788,3
-98.502825,29.55736,9
-97.859405,30.647538,2
-97.844089,30.575459,6
-118.83922,34.301063,5
-116.856247,32.828636,3
-117.231972,33.092639,22
-122.504539,38.446339,7
-97.83813,30.518588,4
-99.169237,30.061672,96
-122.091561,37.556637,4
-98.130347,30.672158,3
-117.247469,33.152479,NA
-98.484162,29.402333,4
-98.505944,29.649675,586
-98.439689,29.593824,3
-98.498749,29.31222,NA
-98.821056,29.882292,541
-97.486375,32.848218,1
-118.34266,33.826477,144
-98.496293,29.300364,788
-117.143975,34.122761,25
-98.500142,29.311753,55
-116.362392,32.672094,NA
-97.642897,30.685392,9
-118.187803,34.074205,6
-97.862882,30.170144,4
-118.358505,34.10805,2
-96.845103,33.050361,NA
-117.217525,32.864725,NA
-118.583505,34.092458,103
-120.234274,34.481469,2
-121.959838,37.438983,8
-117.186772,32.778389,NA
-98.500221,29.311806,NA
-99.125156,30.070319,45
-118.360437,34.108411,3
-117.060679,32.821637,9
-117.925622,34.15262,4
-117.945817,34.119611,7
-96.845122,33.050345,7
-117.181542,34.185372,14
-118.368872,34.438078,2
-98.350659,29.687729,5
-118.576378,34.18845,5
-98.468556,29.647729,68
-117.368928,33.780039,NA
-98.469035,29.647089,2
-98.350823,29.687669,NA
-98.483825,29.402189,8
-118.365895,34.007342,8
-97.306184,31.612421,115
-117.826386,34.058794,7
-97.72789,30.165019,6
-118.12078,34.203828,3
-98.731855,29.505641,34
-98.460807,29.696858,NA
-122.337608,38.43617,14
-117.248396,33.151184,37
-98.262263,29.215615,NA
-117.096303,32.893863,2
-97.903948,29.944853,3
-98.351312,29.687167,7
-118.342448,33.826855,5
-99.167846,30.060444,86
-119.976427,35.141102,11
-97.860249,30.301987,8
-98.545883,29.24964,4
-98.432655,29.272508,4
-118.241578,34.101028,4
-98.443447,29.596176,200
-98.476321,29.628603,NA
-122.100741,38.506362,4
-118.527603,34.2821,NA
-98.602666,29.370508,61
-119.374863,34.505017,5
-96.844733,33.050155,15
-121.759911,37.302939,4
-120.110908,33.922508,6
-117.248225,33.152042,5
-118.721742,34.044608,3
-99.243835,30.06844,NA
-117.828924,34.057475,42
-97.526515,30.621732,7
-117.830917,34.056257,9
-99.57063,29.807673,6
-98.764308,29.549018,NA
-122.291678,37.485017,NA
-120.099747,33.923472,6
-117.243969,32.668615,NA
-98.565544,29.612312,NA
-98.262293,29.215643,NA
-98.190156,29.71231,NA
-120.70295,35.252208,3
-117.844281,33.639086,3
-98.023366,30.506662,166
-96.845105,33.050384,4
-110.991309,32.457002,NA
-97.795203,30.609592,9
-98.76963,29.866572,27
-98.473577,29.629406,3
-117.155328,33.076245,9
-117.192488,33.209678,3
-98.602859,29.370382,44
-98.629059,29.590777,3
-98.54811,29.250483,8
-116.709385,33.013644,196
-98.403964,29.579368,248
-98.48031,29.428329,16
-117.189165,32.79599,25
-116.69075,33.024781,3
-118.053376,33.702627,4
-97.486883,32.847641,3
-117.675003,34.176563,14
-121.326283,35.781767,NA
-116.575625,32.889608,NA
-98.454125,29.632458,5
-111.078898,32.177391,NA
-116.590343,33.032878,NA
-98.818183,30.497237,3
-117.040731,32.841447,NA
-97.559678,30.497678,2
-98.442428,29.592792,32
-98.731844,29.50541,35
-99.417357,29.990105,3
-118.314631,33.718143,384
-98.188532,29.863389,8
-118.043514,34.002445,5
-122.136272,37.951431,209
-98.433403,29.27208,12
-119.945863,34.77254,4
-117.946237,34.119583,4
-97.559647,30.497892,2
-117.299238,33.1543,4
-110.71859,32.174495,NA
-98.976439,29.680979,4
-97.838167,30.646953,3
-117.958732,33.631629,3
-118.346897,33.73818,4
-117.946945,33.899325,3
-98.499043,29.43871,4
-98.810414,29.886957,NA
-121.971661,37.878255,836
-118.433395,33.970497,3
-117.2051,33.095142,2
-98.262293,29.215643,NA
-118.580483,34.092306,84
-98.334145,29.683288,2
-117.247305,33.153442,4
-121.911235,37.178478,8
-97.452261,32.008842,NA
-98.50283,29.557355,3
-117.042896,32.840586,NA
-98.591797,29.617,6
-118.379751,34.316463,4
-98.262303,29.215665,NA
-117.316038,34.151522,3
-118.64151,34.106299,31
-98.456645,29.560411,442
-99.276947,30.068961,NA
-97.150633,31.576654,5
-98.976113,29.681229,63
-98.6319,29.613791,336
-99.125393,30.033619,4
-97.877105,30.030222,3
-98.548523,29.579663,5
-99.06791,29.73118,8
-118.338045,34.113433,4
-98.61603,29.582214,9
-117.427307,33.977278,62
